Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Graphite,GRC,USA,Greece,USA,380110,Processed,8006.0,mirror,39.074208,21.824312,37.09024,-95.712891
Graphite,GRC,AUT,Greece,Austria,380110,Processed,4730.003,mirror,39.074208,21.824312,47.516231,14.550072
Graphite,GRC,ALB,Greece,Albania,380110,Processed,1935.296,direct,39.074208,21.824312,41.153332,20.168331
Graphite,GRC,CYP,Greece,Cyprus,380120,Processed,1000.12,direct,39.074208,21.824312,35.126413,33.429859
Graphite,GRC,KWT,Greece,Kuwait,380110,Processed,586.0,mirror,39.074208,21.824312,29.31166,47.481766
Graphite,GRC,BGR,Greece,Bulgaria,380110,Processed,340.736,mirror,39.074208,21.824312,42.733883,25.48583
Graphite,GRC,NLD,Greece,Netherlands,380110|380120,Processed,6.494,mirror,39.074208,21.824312,52.132633,5.291266
Graphite,GTM,HND,Guatemala,Honduras,380110|380120,Processed,6783.0,direct,15.783471,-90.230759,15.199999,-86.241905
Graphite,GTM,SLV,Guatemala,El Salvador,380120,Processed,2873.0,direct,15.783471,-90.230759,13.794185,-88.89653
Graphite,HUN,CHN,Hungary,China,380110|380120,Processed,293515.956,direct,47.162494,19.503304,35.86166,104.195397
Graphite,HUN,POL,Hungary,Poland,380110,Processed,180732.564,direct,47.162494,19.503304,51.919438,19.145136
Graphite,HUN,KAZ,Hungary,Kazakhstan,380120,Processed,173349.696,direct,47.162494,19.503304,48.019573,66.923684
Graphite,HUN,DEU,Hungary,Germany,380110|380120,Processed,18920.168,direct,47.162494,19.503304,51.165691,10.451526
Graphite,HUN,BGR,Hungary,Bulgaria,380110,Processed,16538.256,direct,47.162494,19.503304,42.733883,25.48583
Graphite,HUN,ITA,Hungary,Italy,380120,Processed,8587.744,direct,47.162494,19.503304,41.87194,12.56738
Graphite,HUN,UKR,Hungary,Ukraine,380120,Processed,8360.764,direct,47.162494,19.503304,48.379433,31.16558
Graphite,HUN,ESP,Hungary,Spain,380110|380120,Processed,2928.5199999999995,direct,47.162494,19.503304,40.463667,-3.74922
Graphite,HUN,ISR,Hungary,Israel,380120,Processed,1000.0,mirror,47.162494,19.503304,31.046051,34.851612
Graphite,HUN,ROU,Hungary,Romania,380120,Processed,703.668,direct,47.162494,19.503304,45.943161,24.96676
Graphite,HUN,NLD,Hungary,Netherlands,380110|380120,Processed,145.03900000000002,mirror,47.162494,19.503304,52.132633,5.291266
Graphite,HUN,AUT,Hungary,Austria,380110,Processed,64.008,direct,47.162494,19.503304,47.516231,14.550072
Graphite,HUN,KOR,Hungary,Rep. of Korea,380120,Processed,16.0,mirror,47.162494,19.503304,35.907757,127.766922
Graphite,ISL,FRA,Iceland,France,380110,Processed,460808.328,mirror,64.963051,-19.020835,46.227638,2.213749
Graphite,ISL,DNK,Iceland,Denmark,380110,Processed,22604.697,direct,64.963051,-19.020835,56.26392,9.501785
Graphite,ISL,POL,Iceland,Poland,380110,Processed,815.4,direct,64.963051,-19.020835,51.919438,19.145136
Graphite,IND,DEU,India,Germany,380110|380120,Processed,16926486.636,direct,20.593684,78.96288,51.165691,10.451526
Graphite,IND,USA,India,USA,380110|380120,Processed,14232740.936,direct,20.593684,78.96288,37.09024,-95.712891
Graphite,IND,POL,India,Poland,380110,Processed,5053500.0,mirror,20.593684,78.96288,51.919438,19.145136
Graphite,IND,SAU,India,Saudi Arabia,380110|380120,Processed,4874265.616,direct,20.593684,78.96288,23.885942,45.079162
Graphite,IND,TUR,India,Türkiye,380110|380120,Processed,3286039.57,direct,20.593684,78.96288,38.963745,35.243322
Graphite,IND,ISR,India,Israel,380110,Processed,3134679.902,direct,20.593684,78.96288,31.046051,34.851612
Graphite,IND,ITA,India,Italy,380110,Processed,1839173.764,direct,20.593684,78.96288,41.87194,12.56738
Graphite,IND,BEL,India,Belgium,380110,Processed,1501085.9,direct,20.593684,78.96288,50.503887,4.469936
Graphite,IND,ECU,India,Ecuador,380110,Processed,1334285.3599999999,mirror,20.593684,78.96288,-1.831239,-78.183406
Graphite,IND,ARE,India,United Arab Emirates,380110,Processed,1078716.704,direct,20.593684,78.96288,23.424076,53.847818
Graphite,IND,MYS,India,Malaysia,380110,Processed,1053668.108,direct,20.593684,78.96288,4.210484,101.975766
Graphite,IND,KWT,India,Kuwait,380110|380120,Processed,713977.422,direct,20.593684,78.96288,29.31166,47.481766
Graphite,IND,JPN,India,Japan,380110,Processed,663727.006,direct,20.593684,78.96288,36.204824,138.252924
Graphite,IND,SWE,India,Sweden,380110,Processed,486373.2,direct,20.593684,78.96288,60.128161,18.643501
Graphite,IND,OMN,India,Oman,380110,Processed,476727.404,direct,20.593684,78.96288,21.512583,55.923255
Graphite,IND,CHN,India,China,380110,Processed,347449.52,direct,20.593684,78.96288,35.86166,104.195397
Graphite,IND,QAT,India,Qatar,380110,Processed,280523.536,direct,20.593684,78.96288,25.354826,51.183884
Graphite,IND,KOR,India,Rep. of Korea,380110,Processed,276113.106,direct,20.593684,78.96288,35.907757,127.766922
Graphite,IND,EGY,India,Egypt,380110,Processed,241435.824,direct,20.593684,78.96288,26.820553,30.802498
